      2,814,712  GC Heap bytes
         42,257  GC Heap objects

   Object Bytes     Count  Type
            128        37  System.Func<Microsoft.Maui.Controls.PlatformConfigurationRegistry<Microsoft.Maui.Controls.Label>>  [Module(0xb400007cb6925060)]
            128        37  System.Func<Microsoft.Maui.Controls.PlatformConfigurationRegistry<Microsoft.Maui.Controls.Page>>  [Module(0xb400007cb6925060)]
            128        29  System.ComponentModel.PropertyChangedEventHandler  [Module(0xb400007cb69368b0)]
            128        28  Microsoft.Maui.Controls.BindableProperty.BindingPropertyChangingDelegate  [Module(0xb400007cb692a5b0)]
            128        27  System.EventHandler<Android.Views.View.FocusChangeEventArgs>  [Module(0xb400007cb6925060)]
            128        21  System.Action<Microsoft.Maui.Handlers.IEntryHandler,Microsoft.Maui.IEntry>  [Module(0xb400007cb6925060)]
            128        21  System.Func<Microsoft.Extensions.DependencyInjection.ServiceLookup.ServiceProviderEngineScope,System.Object>  [Module(0xb400007cb6925060)]
            128        21  System.EventHandler<Microsoft.Maui.Controls.NavigatedToEventArgs>  [Module(0xb400007cb6925060)]
            128        20  System.Action<Microsoft.Maui.Handlers.ISearchBarHandler,Microsoft.Maui.ISearchBar>  [Module(0xb400007cb6925060)]
            128        18  System.Action<Microsoft.Maui.Handlers.IEditorHandler,Microsoft.Maui.IEditor>  [Module(0xb400007cb6925060)]
            128        17  System.Func<Microsoft.Maui.Controls.Platform.TapAndPanGestureDetector>  [Module(0xb400007cb6925060)]
            128        17  System.Func<Android.Views.ScaleGestureDetector>  [Module(0xb400007cb6925060)]
            128        16  Microsoft.Maui.Controls.BindableProperty.CoerceValueDelegate  [Module(0xb400007cb692a5b0)]
            128        16  System.Collections.Generic.Dictionary.Entry<System.Type,Java.Interop.JniPeerMembers.JniInstanceMethods>[]  [Module(0xb400007cb6925060)]
            128        16  System.Func<Microsoft.Maui.Controls.PlatformConfigurationRegistry<Microsoft.Maui.Controls.NavigationPage>>  [Module(0xb400007cb6925060)]
